Creation_Date,Estee_ID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
5/3/2021,BRCSNAACNOR6BR00,1,100,47.49,Executed,36:14.8
5/3/2021,BRCVCBACNOR1BR00,1,100,23.02,Executed,36:08.5
5/3/2021,BRCVCBACNOR1BR00,1,100,23.02,Executed,36:09.9
5/3/2021,BRRADLACNOR0BR00,1,100,26.56,Executed,36:22.9
5/3/2021,BRENGICDAM16BR00,1,100,43.4,Executed,37:07.7
5/3/2021,BRNTCOACNOR5BR00,2,100,49.6,Executed,36:09.8
5/3/2021,BRBRAPACNPR2BR00,2,100,70.95,Executed,36:15.7
5/3/2021,BRNTCOACNOR5BR00,2,100,49.6,Executed,36:14.3
5/3/2021,BRELETACNOR6BR00,1,100,36.72,Executed,36:26.1
5/3/2021,BREQTLACNOR0BR00,1,100,23.5799,Executed,36:22.9
5/3/2021,BRMRVEACNOR2BR00,2,100,17.26,Executed,36:43.2
5/3/2021,BRWIZSACNOR1BR00,1,100,10.9,Executed,36:10.4
5/3/2021,BRWIZSACNOR1BR00,1,100,10.89,Executed,36:15.7
5/3/2021,BRGGBRACNPR8BR00,2,100,32.52,Executed,36:14.8
5/3/2021,BRCYREACNOR7BR00,1,100,23.44,Executed,36:11.8
5/3/2021,BRENATACNOR0BR00,1,100,14.55,Executed,36:46.3
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,36:10.7
5/3/2021,BRELETACNPB7BR00,1,100,36.88,Executed,36:25.2
5/3/2021,BRHYPEACNOR0BR00,2,100,34.33,Executed,36:22.5
5/3/2021,BREMBRACNOR4BR00,2,100,15.86,Executed,36:18.0
5/3/2021,BREZTCACNOR0BR00,1,100,32.4,Executed,36:40.4
5/3/2021,BRCVCBACNOR1BR00,1,100,23.04,Executed,36:41.6
5/3/2021,BRHAPVACNOR4BR00,2,100,14.88,Executed,36:30.9
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,36:15.8
